"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"123",339389,2017-02-14 20:22:00,10.28871,NA,5.89,4.107917,10.70427,8.15125,951.5417,2017-02-14
"124",339390,2017-02-14 20:32:00,10.28737,NA,5.89,4.102083,10.70073,8.151667,951.5833,2017-02-14
"125",339391,2017-02-14 20:42:00,10.28772,NA,5.89,4.0975,10.7,8.152083,951.3333,2017-02-14
"126",339392,2017-02-14 20:52:00,10.28908,NA,5.89,4.093333,10.69937,8.1525,952.0833,2017-02-14
"127",339393,2017-02-14 21:02:00,10.29106,NA,5.89,4.089583,10.70323,8.152917,951.8333,2017-02-14
"128",339394,2017-02-14 21:12:00,10.29283,NA,5.89,4.08625,10.70479,8.153333,953.1667,2017-02-14
"129",339395,2017-02-14 21:22:00,10.29303,NA,5.89,4.084167,10.70177,8.15375,953.625,2017-02-14
"130",339396,2017-02-14 21:32:00,10.29348,NA,5.89,4.082083,10.70219,8.154167,953.5833,2017-02-14
"131",339397,2017-02-14 21:42:00,10.29473,NA,5.89,4.078333,10.70271,8.154583,956.2083,2017-02-14
"132",339398,2017-02-14 21:52:00,10.29349,NA,5.89,4.072917,10.69844,8.155,957,2017-02-14
"133",339399,2017-02-14 22:02:00,10.29453,NA,5.88,4.06625,10.69521,8.155,958.8333,2017-02-14
"134",339400,2017-02-14 22:12:00,10.2959,NA,5.87,4.059167,10.68958,8.155417,960.2083,2017-02-14
"135",339401,2017-02-14 22:22:00,10.29696,NA,5.86,4.051667,10.68208,8.155833,961.0417,2017-02-14
"136",339402,2017-02-14 22:32:00,10.2979,NA,5.87,4.043333,10.68906,8.15625,962.2083,2017-02-14
"137",339403,2017-02-14 22:42:00,10.29779,NA,5.87,4.035,10.68302,8.156667,963.1667,2017-02-14
"138",339404,2017-02-14 22:52:00,10.29806,NA,5.86,4.027083,10.67948,8.157083,963.375,2017-02-14
"139",339405,2017-02-14 23:02:00,10.29634,NA,5.85,4.018333,10.67323,8.157083,964,2017-02-14
"140",339406,2017-02-14 23:12:00,10.30007,NA,5.85,4.008333,10.67188,8.157083,963.7083,2017-02-14
"141",339407,2017-02-14 23:22:00,10.2991,NA,5.85,3.997083,10.66875,8.157083,964,2017-02-14
"142",339408,2017-02-14 23:32:00,10.29934,NA,5.85,3.985,10.66677,8.157083,964,2017-02-14
"143",339409,2017-02-14 23:42:00,10.29898,NA,5.84,3.97375,10.66208,8.157083,962.6667,2017-02-14
"144",339410,2017-02-14 23:52:00,10.30086,NA,5.84,3.960833,10.65979,8.157083,964.5,2017-02-14
"145",339699,2017-02-17 00:02:00,10.22928,NA,5.87,6.210417,10.68885,8.145,949,2017-02-17
"146",339700,2017-02-17 00:12:00,10.23042,NA,5.88,6.200417,10.69135,8.145417,949.2083,2017-02-17
"147",339701,2017-02-17 00:22:00,10.23242,NA,5.88,6.189167,10.69656,8.14625,949.6667,2017-02-17
"148",339702,2017-02-17 00:32:00,10.23239,NA,5.88,6.177083,10.69375,8.14625,949.8333,2017-02-17
"149",339703,2017-02-17 00:42:00,10.23195,NA,5.88,6.165417,10.6949,8.146667,950.5,2017-02-17
"150",339704,2017-02-17 00:52:00,10.23059,NA,5.88,6.154583,10.69646,8.1475,950.75,2017-02-17
"151",339705,2017-02-17 01:02:00,10.23076,NA,5.88,6.146667,10.6976,8.147917,950.7917,2017-02-17
"152",339706,2017-02-17 01:12:00,10.23092,NA,5.88,6.140417,10.69615,8.14875,950.9583,2017-02-17
"153",339707,2017-02-17 01:22:00,10.23089,NA,5.88,6.135833,10.69656,8.15,951.375,2017-02-17
"154",339708,2017-02-17 01:32:00,10.23143,NA,5.89,6.129583,10.69844,8.150833,951.3333,2017-02-17
"155",339709,2017-02-17 01:42:00,10.23157,NA,5.89,6.1225,10.70031,8.15125,951.3333,2017-02-17
"156",339710,2017-02-17 01:52:00,10.2314,NA,5.88,6.117083,10.69594,8.151667,951.5833,2017-02-17
"157",339711,2017-02-17 02:02:00,10.23125,NA,5.88,6.112917,10.69271,8.1525,952.2083,2017-02-17
"158",339712,2017-02-17 02:12:00,10.23151,NA,5.88,6.109167,10.69448,8.152917,952.4167,2017-02-17
"159",339713,2017-02-17 02:22:00,10.2315,NA,5.88,6.105833,10.69594,8.15375,952.5,2017-02-17
"160",339714,2017-02-17 02:32:00,10.23175,NA,5.89,6.102083,10.70021,8.155,953.0417,2017-02-17
"161",339715,2017-02-17 02:42:00,10.23184,NA,5.88,6.097917,10.6976,8.155417,952.4167,2017-02-17
"162",339716,2017-02-17 02:52:00,10.23195,NA,5.88,6.094583,10.69615,8.155417,953.4583,2017-02-17
"163",339717,2017-02-17 03:02:00,10.23168,NA,5.88,6.090417,10.69698,8.15625,953.5417,2017-02-17
"164",339718,2017-02-17 03:12:00,10.23182,NA,5.88,6.08625,10.69615,8.157083,953.9583,2017-02-17
"165",339719,2017-02-17 03:22:00,10.23175,NA,5.88,6.08,10.6926,8.1575,953.7917,2017-02-17
"166",339720,2017-02-17 03:32:00,10.23155,NA,5.87,6.072917,10.68771,8.15875,954.25,2017-02-17
"167",339721,2017-02-17 03:42:00,10.23171,NA,5.87,6.06375,10.68594,8.16,954.2083,2017-02-17
"168",339722,2017-02-17 03:52:00,10.23198,NA,5.87,6.052917,10.68542,8.16,954,2017-02-17
"169",339723,2017-02-17 04:02:00,10.2319,NA,5.86,6.041667,10.67646,8.16,953.5833,2017-02-17
"170",339724,2017-02-17 04:12:00,10.23147,NA,5.85,6.03,10.6674,8.160417,954,2017-02-17
"171",339725,2017-02-17 04:22:00,10.23124,NA,5.84,6.01875,10.66542,8.16,953.875,2017-02-17
"172",339726,2017-02-17 04:32:00,10.2312,NA,5.85,6.007917,10.6674,8.16,953.9583,2017-02-17
"173",339727,2017-02-17 04:42:00,10.23131,NA,5.85,5.997917,10.66771,8.160417,954.2083,2017-02-17
"174",339728,2017-02-17 04:52:00,10.23125,NA,5.85,5.988333,10.66771,8.16125,953.4167,2017-02-17
"175",339729,2017-02-17 05:02:00,10.23128,NA,5.84,5.98125,10.6649,8.160833,953.875,2017-02-17
"176",339730,2017-02-17 05:12:00,10.23125,NA,5.85,5.977083,10.66823,8.16125,954,2017-02-17
"177",339731,2017-02-17 05:22:00,10.23142,NA,5.85,5.975833,10.67,8.162083,954.125,2017-02-17
"178",339732,2017-02-17 05:32:00,10.23157,NA,5.85,5.9775,10.67333,8.162917,953.7083,2017-02-17
"179",339733,2017-02-17 05:42:00,10.23155,NA,5.85,5.98125,10.67323,8.164167,953.875,2017-02-17
"180",339734,2017-02-17 05:52:00,10.23129,NA,5.86,5.987917,10.67531,8.167083,953.75,2017-02-17
"181",339735,2017-02-17 06:02:00,10.23155,NA,5.87,6,10.68635,8.169167,953.5833,2017-02-17
"182",339736,2017-02-17 06:12:00,10.23175,NA,5.87,6.017083,10.68948,8.172083,953,2017-02-17
"183",339737,2017-02-17 06:22:00,10.23176,NA,5.87,6.037917,10.68781,8.175833,953.2083,2017-02-17
"184",339738,2017-02-17 06:32:00,10.23137,NA,5.87,6.062917,10.68906,8.179583,953.2083,2017-02-17
"185",339739,2017-02-17 06:42:00,10.23147,NA,5.89,6.092083,10.69979,8.183333,953.5,2017-02-17
"186",339740,2017-02-17 06:52:00,10.23139,NA,5.89,6.125,10.70073,8.186667,953.9167,2017-02-17
"187",339741,2017-02-17 07:02:00,10.23157,NA,5.9,6.159583,10.70948,8.190833,953.7917,2017-02-17
"188",339742,2017-02-17 07:12:00,10.23136,NA,5.9,6.195,10.71229,8.19375,953.5833,2017-02-17
"189",339743,2017-02-17 07:22:00,10.23137,NA,5.91,6.234583,10.7201,8.1975,953.5417,2017-02-17
"190",339744,2017-02-17 07:32:00,10.23137,NA,5.92,6.280417,10.72729,8.20125,953.875,2017-02-17
"191",339745,2017-02-17 07:42:00,10.23152,NA,5.93,6.3325,10.73427,8.205,953.4583,2017-02-17
"192",339746,2017-02-17 07:52:00,10.23187,NA,5.94,6.387083,10.74031,8.208333,953.75,2017-02-17
