"","...1","Time","No3","O2","Q","WT","WL","PH","EL","date"
"204",339902,2017-02-18 09:52:00,10.23114,NA,5.7,6.706667,10.54792,8.223333,940.2917,2017-02-18
"205",339903,2017-02-18 10:02:00,10.23115,NA,5.7,6.7275,10.55198,8.224583,939.9167,2017-02-18
"206",339904,2017-02-18 10:12:00,10.23118,NA,5.71,6.75,10.55729,8.226667,938.375,2017-02-18
"207",339905,2017-02-18 10:22:00,10.23133,NA,5.72,6.773333,10.56469,8.22875,937.2917,2017-02-18
"208",339906,2017-02-18 10:32:00,10.2308,NA,5.71,6.795417,10.56115,8.230417,935.625,2017-02-18
"209",339907,2017-02-18 10:42:00,10.2309,NA,5.71,6.815833,10.56052,8.231667,934.7083,2017-02-18
"210",339908,2017-02-18 10:52:00,10.23076,NA,5.71,6.831667,10.55833,8.232083,933.875,2017-02-18
"211",339909,2017-02-18 11:02:00,10.23087,NA,5.72,6.845833,10.56448,8.232917,933.875,2017-02-18
"212",339910,2017-02-18 11:12:00,10.2307,NA,5.71,6.857917,10.56219,8.2325,932.75,2017-02-18
"213",339911,2017-02-18 11:22:00,10.23105,NA,5.72,6.870417,10.56677,8.2325,932.2917,2017-02-18
"214",339912,2017-02-18 11:32:00,10.23072,NA,5.72,6.886667,10.56896,8.232917,931.5417,2017-02-18
"215",339913,2017-02-18 11:42:00,10.23042,NA,5.72,6.903333,10.57,8.233333,931.1667,2017-02-18
"216",339914,2017-02-18 11:52:00,10.23052,NA,5.73,6.92125,10.57667,8.234167,930.2083,2017-02-18
"217",339915,2017-02-18 12:02:00,10.23058,NA,5.74,6.93625,10.58469,8.234583,931.375,2017-02-18
"218",339916,2017-02-18 12:12:00,10.23046,NA,5.74,6.948333,10.58677,8.234167,932.0417,2017-02-18
"219",339917,2017-02-18 12:22:00,10.23038,NA,5.75,6.959583,10.59156,8.232917,932.1667,2017-02-18
"220",339918,2017-02-18 12:32:00,10.23051,NA,5.76,6.9725,10.60031,8.2325,931.75,2017-02-18
"221",339919,2017-02-18 12:42:00,10.23002,NA,5.76,6.985417,10.59844,8.2325,931.9167,2017-02-18
"222",339920,2017-02-18 12:52:00,10.23,NA,5.76,6.998333,10.59958,8.2325,932.375,2017-02-18
"223",339921,2017-02-18 13:02:00,10.22989,NA,5.76,7.00875,10.59531,8.231667,932.4583,2017-02-18
"224",339922,2017-02-18 13:12:00,10.22977,NA,5.75,7.016667,10.5949,8.231667,933.2917,2017-02-18
"225",339923,2017-02-18 13:22:00,10.22964,NA,5.75,7.02125,10.59281,8.230417,934,2017-02-18
"226",339924,2017-02-18 13:32:00,10.22976,NA,5.75,7.021667,10.58802,8.229167,933.75,2017-02-18
"227",339925,2017-02-18 13:42:00,10.22962,NA,5.74,7.021667,10.585,8.227083,933.875,2017-02-18
"228",339926,2017-02-18 13:52:00,10.22936,NA,5.73,7.02,10.57833,8.225,935,2017-02-18
"229",339927,2017-02-18 14:02:00,10.22929,NA,5.73,7.019167,10.57302,8.223333,934.7083,2017-02-18
"230",339928,2017-02-18 14:12:00,10.22939,NA,5.73,7.016667,10.5726,8.220833,935.8333,2017-02-18
"231",339929,2017-02-18 14:22:00,10.22934,NA,5.72,7.009583,10.56583,8.21875,935.9583,2017-02-18
"232",339930,2017-02-18 14:32:00,10.22952,NA,5.72,6.998333,10.56542,8.214583,937,2017-02-18
"233",339931,2017-02-18 14:42:00,10.22968,NA,5.72,6.985833,10.5674,8.210833,937.125,2017-02-18
"234",339932,2017-02-18 14:52:00,10.22945,NA,5.71,6.973333,10.56323,8.207083,937.2083,2017-02-18
"235",339933,2017-02-18 15:02:00,10.22915,NA,5.71,6.962083,10.56281,8.20375,938.0417,2017-02-18
"236",339934,2017-02-18 15:12:00,10.22922,NA,5.71,6.9525,10.56281,8.200417,939.0833,2017-02-18
"237",339935,2017-02-18 15:22:00,10.22905,NA,5.71,6.943333,10.56052,8.1975,939.7083,2017-02-18
"238",339936,2017-02-18 15:32:00,10.22928,NA,5.71,6.932917,10.56208,8.194167,941.8333,2017-02-18
